x,y
0.010792642776929309, 51.189721234746486
0.012590321940393834, 56.2637730438137
0.014687431970009386, 61.73460135767326
0.01713384764066691, 67.58236521833585
0.019987751131241467, 73.81473571195039
0.023317015749352955, 80.43733893511352
0.02720082013657757, 87.40343466110791
0.031731531344141896, 94.80975218695623
0.03701690156357718, 102.66708492081379
0.04318263075634799, 110.8576402505859
0.05037535612850712, 119.0179284411037
0.05876613954792163, 127.63259980070472
0.0685545358439959, 136.4012214489796
0.07997333874472501, 145.5219851562832
0.0932941173219056, 155.0748727428563
0.10883367461568658, 164.21690036223077
0.1269615820414861, 173.59930211335876
0.14810896876722457, 183.3076420995835
0.17277877509531006, 193.00534947186358
0.20155771370168304, 202.28701613851908
0.235130223201544, 211.89363246804209
0.2742947458941446, 221.19495574296548
0.3199827168140894, 230.37612812090563
0.3732807156985778, 239.11517900904093
0.4354563087024429, 247.7596190021874
0.5079881944447303, 255.5428827333543
0.5926013713388398, 263.2688804002836
0.6913081625775506, 269.98842786464206
0.8064560744546262, 275.92953461668526
0.9407836262193813, 282.1629525216277
1.0974854792445174, 284.43477324360026
1.2802884144496132, 287.7119979375535
1.4935399649225864, 289.6964297280955
1.7423118116552716, 290.02849651765854
2.03252040141478, 292.53116033258596
2.3710676553598873, 288.7025088087155
2.7660051148222395, 288.5371871710757
3.2267254280694635, 285.9048791942064
3.764185732107431, 282.1629525216277
4.340214672149436, 278.4168360406884
6.424289627691652, 275.5083826876096
7.582335742589992, 269.21628633919846
8.942171302597005, 263.2521253122571
10.318607100674031, 258.0434148632248
12.037328396676813, 252.19833425421467
14.042328922474109, 246.06245599323356
16.381292847455335, 240.62655413150787
19.109846866257, 236.1208479753841
22.29288314740797, 229.84889395002654
26.00610263923727, 224.89996081862702
30.337815436904652, 218.4250315448684
35.39104102800242, 213.35512334606335
41.285958366076336, 207.68788330277627
48.16276404123605, 200.44156345555936
56.185006522648195, 193.66981219227398
65.54347576993862, 187.55607596607996
76.46074071866175, 180.18459004092205
89.19644255313948, 172.31141178905165
104.05346965457406, 163.6534877832804
121.38516108089176, 156.32345022691644
141.603709895957, 146.35792791879018
165.18996620135306, 135.46686778654006
187.38180510452284, 127.19470448022776
